artist_id,artist_name
artist_id,artist_name
1025202,黄子韬
3256,黄明志
13159024,海来阿木
3421,黄勇
3081,胡伟立
3072,韩磊
3118,黑龙
3086,海鸣威
1011192,黑羊
3272,韩庚
1006030,洪尘
12773144,韩沐伯
1081579,黄雨篱
1049349,胡碧乔
3059,黄霑
3070,黄玠
3337,黄艺明
3224,洪楗华
12488022,黄榕生
839761,何流
3082,黄安
3255,黄渤
3094,黄晓明
3085,韩寒
3330,胡鸿钧
12915311,浩纹
1019154,黄礼格
3307,晃儿
13059437,黄新淳
3181,贺一航
3120,霍建华
3311,海生
12598388,胡蒎
3090,何炅
3322,黄英华
3126,黄宗泽
3093,黄征
1081917,Ghayrat Mahmut
3116,黄家强
13059435,何东东
12487019,洪雨雷
12379051,何柏诚
1182797,浩天
3080,黄贯中
13972353,火火兔
3121,黄阅
3259,呼斯楞
94064,Howie Lee
3112,何润东
3378,何崇志
3250,火风
1181165,何大河
3162,胡兵
3069,洪启
1039086,何星烁RapStar
12073309,侯明昊
30617412,何石
3068,黄大炜
3056,胡德夫
3096,贺西格
3166,黄鹤翔
3123,黄国俊
3276,何晟铭
3075,何训田
3146,侯旭
3076,黄秋生
12458021,韩毅
3065,黄立行
1006027,涵昱
3061,黄磊
3210,慧普法师
1081256,和弦
3424,黄平
1068009,前后动机直升机组合
3055,何勇
3362,何鹏
1050409,Jason Huang
13056444,韩雍杰
12796041,胡一天
3408,海哲明
13056448,黄书豪
3317,灰原穷
12727068,荷叶
11975111,ilem
1132544,Iceloki
1038374,iMoon
11987075,impossibleChuck
956418,InfiniteMusic
1047333,iCsuo
31524954,Isaac Yong
900332,imeatART
133386,I N K 本墨导窒
1039978,ilham丁丁
1083022,iimmune
1039395,IANNE
1031042,ibinbao
28085491,ianbird 吴冠亨
820494,Inbellum
1000135,"I,Defiance"
3438,iiiis
28390292,Ian Yu
29356237,illusory李虚无
13738116,ins白日说唱家
13707529,IL CANTO
12263528,Imc王辰
13430213,Infernal Chaos
1161208,Izumi koga
1050737,Ilya Ai Wei
1081840,irevan
1039393,IMAGINE
1049076,Inspiration Crowd
3445,Intangible Ism
1044068,IMCUICUI
1031052,Impractical Scraps
188694,蒋蒋
5001,简弘亦
166014,金志文
13057497,黄明昊 (Justin)
827163,金贵晟
3459,姜玉阳
3535,Jason Chen
3456,姜育恒
29148309,江映东
1047078,江南诚
1071076,姜贰拾
3464,江涛
3452,蒋大为
789380,J-Sleeper性感的拖鞋
30316310,姜凯文
1182757,J.R.G.
12262268,金6
3558,蒋明
28085561,JZN
187010,J. Sheon
27694332,贾盛强
1015710,江潮
3526,JR Fog
12488044,贾昱
1097081,JK.Chen
1063007,居来
30618494,金瀚
3453,蒋志光
3536,金培达
3450,几米
13839019,俊俊
3600,江智民
3539,井柏然
3528,靳松
3454,贾鹏芳
13226406,JK LEE
187394,精气神制作
12369108,精神领袖佛爷
3466,姜鹏
31155447,贾凡
905426,金润吉
1049680,吉克曲布
12634598,JV陈政文
1106073,贾乃亮
1098154,JZlee
1038368,贾巴阿叁
12914018,JOHN$
1081155,蒋劲夫
3613,纪晓斌
13059443,J-ONE
13059438,伽里
1099005,小简
3537,鞠起
3562,金复载
3499,景岗山
5839,解小东
187203,坚持者
187061,解晓东
13056451,靖佩瑶
190079,家家
3463,江得胜
13059442,姜京佐
3594,蒋山
1124432,JeamsKing
3504,君君
3521,姜洋
729003,贾涛
1038398,纪粹希
225978,JOE WANG
1049408,姜潮
3511,蒋月泉
12488021,聚来提
3576,金玥
3451,金城武
3591,甲雍
1060009,JIANG.x
3515,Jeff李
13500157,觉醒爷爷
3534,贾鹏新
3498,金学峰
1084122,进恩哥
12526089,$NGK
1156032,靳东
792823,苏珂
3524,极泷
3572,君子
12279763,江都子
1057168,九御kyuugo
3563,金久哲
1047250,吉克杰拉
3461,江凯文
999454,金宇晨
1039055,井宁
3541,姜昆
3462,吉杰
1038352,蒋敦豪
3551,金泽
982004,宸毅
1156277,甲雍喇嘛
1050231,金熙泽
1047064,KBShinya
862058,卡修Rui
13737107,可有道
12261311,柯镇恶
12024274,Kafe.Hu
12493703,K ELEVEN
1019172,凯玟桑
3617,柯有伦
13974121,孔舒航
27694228,康天庥
3670,康梓峰
3625,卡卡
3616,KenT
3658,克尔曼
3619,孔令奇
911042,康硕Kenny
3614,柯受良
3672,柯暮卿
991002,柯智棠
3627,康康
12048189,孔东东
3654,柯震东
12811143,KEVSER
12467220,K2
686006,康康
5980,阚立文
222404,卡斯Kas$
1081372,孔岱山
1019155,孔垂楠
1060093,Keyshawn Binean
3651,KT
3649,昆虫白
868001,KillerBlood
1080047,宗儒
13972448,空城mill
3624,孔祥东
3641,凯撒
28387568,K乐
1135192,张童
12356071,凯文
3643,Kositu
1038242,堪布贝玛千贝仁波切
1161004,开松法师
3621,克里木
3623,康万生
1081974,Koowho
3646,科尔沁夫
1069015,杨文博Poe
1043220,Killazer
3626,柯羽
12290110,康桥
1099008,KNXER
12048059,康榕
11974222,柯智豪
3620,孔宏伟
1088051,KB
1050581,Rayyy
1050144,库亦晨
3640,Kz
27693543,抗癌露露
758285,Karma Kid
1132845,K邵庄
3642,康然
12107391,康武军
3636,Know Hope Collective
12467039,K.Scarlet
3639,恐龙李
12171212,康志雄
1094139,Ken-Ming Yang
12869562,Kitson Lau
961279,孔一兵
1046036,口琴ok
3680,亢帅克
1039553,K'桑
1079139,卡列宁
13222461,可力
3638,孔锵
1049889,凯歌
30109610,康乐亥牙
12945681,康成
3644,坤鹏
1039757,孔熙俊
12073350,寇麟
12061058,Knopha
3661,开克尔曼尼
15249167,郭凯文
1039449,Kit.Tam
12086178,邝雨翔
13021354,柯海霞
12061236,邝鉴萍
29150357,KNNNT
1044036,Kael 鹿帆
12408142,张晓天
1049872,Kalen邱志凯
12400042,康绍云
13499905,堪布松柏仁波切
1043285,kico
1047200,Foobar
3630,空气球
994003,开鹏程
3684,林俊杰
4292,李荣浩
3685,林宥嘉
12493781,Lil Ghost小鬼
4393,李代沫
3691,刘德华
3699,李克勤
3683,李宗盛
981141,伦桑
3695,李健
3705,李圣杰
166010,梁博
3692,林志炫
30107224,林俊呈
13022016,廖俊涛
12359437,李常超 (Lao乾妈)
3706,林子祥
4171,刘昊霖
3694,罗志祥
3722,梁汉文
932053,蓝波
3697,卢冠廷
791331,刘梓炎
12080400,李俊佑
1025271,刘旭阳
3690,卢广仲
4080,刘心
12523349,卢焱
3682,老狼
3765,李易峰
3701,黎明
4084,林奕匡
4069,六哲
31153220,赖冠霖
3848,刘允乐
1060132,柳爽
13056454,灵超
3686,罗大佑
4130,李玉刚
3812,刘可
3698,罗文
12602151,李现
4093,李行亮
1038093,鹿晗
13058498,林彦俊
1040035,李雪莱 
1047239,流浪的蛙蛙
13059447,林超泽
1047298,CADY
1021328,李子阳
1043161,Lil Boo
